Date,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y
2011-01-25,-0.318512,0.543268,1.0032,1.47959,1.96478,2.36155,2.66269,2.90734,3.13052,3.34228
2011-01-26,-0.191971,0.583123,1.04205,1.53465,2.03033,2.44517,2.76007,3.00446,3.23151,3.44906
2011-01-27,-0.272301,0.521451,0.989222,1.47858,1.97555,2.39809,2.70777,2.95128,3.18179,3.4032
2011-01-28,-0.35339,0.48731,0.949851,1.43541,1.92649,2.34037,2.6542,2.90211,3.13251,3.35417
2011-01-31,-0.254602,0.512222,0.96874,1.45736,1.95234,2.38028,2.70185,2.94999,3.18382,3.40419
2011-02-01,-0.270853,0.571259,1.03814,1.52527,2.02381,2.4484,2.76787,3.01479,3.24007,3.46007
2011-02-02,-0.168758,0.636646,1.10543,1.60759,2.10227,2.51501,2.82852,3.06676,3.28986,3.5084
2011-02-03,-0.108778,0.679632,1.1623,1.66956,2.16274,2.57803,2.88548,3.12298,3.34419,3.55805
2011-02-04,0.020753,0.765497,1.25959,1.7939,2.28494,2.69365,3.00381,3.23943,3.45587,3.66732
2011-02-07,-0.07284,0.74748,1.27905,1.79278,2.28179,2.69231,3.00154,3.23607,3.45384,3.65901
2011-02-08,0.143407,0.859358,1.37327,1.90142,2.39172,2.79155,3.09125,3.32359,3.53201,3.73351
2011-02-09,-0.052932,0.771111,1.31529,1.83139,2.31878,2.71775,3.01919,3.24651,3.45397,3.655
2011-02-10,0.128635,0.837518,1.37723,1.91811,2.40095,2.79215,3.08153,3.31012,3.51417,3.70276
2011-02-11,-0.02964,0.82319,1.3764,1.90403,2.37431,2.74288,3.03043,3.25854,3.46114,3.6512
2011-02-14,-0.098519,0.81747,1.39129,1.89551,2.35963,2.72742,3.01249,3.2337,3.4338,3.61601
2011-02-15,-0.107191,0.801322,1.37041,1.87943,2.3492,2.73053,3.01563,3.24122,3.43577,3.61798
2011-02-16,-0.094245,0.822209,1.389,1.89359,2.36242,2.74174,3.03034,3.24939,3.44355,3.62563
2011-02-17,-0.108227,0.756718,1.3184,1.82284,2.29359,2.68927,2.97471,3.19944,3.39739,3.58133
2011-02-18,-0.094696,0.747214,1.308,1.81955,2.2927,2.68101,2.97111,3.20495,3.4126,3.59558
2011-02-22,-0.221553,0.660647,1.20154,1.68301,2.15495,2.5417,2.83537,3.0833,3.29306,3.47786
2011-02-23,-0.198,0.684395,1.23004,1.71876,2.19357,2.58132,2.87766,3.11294,3.31726,3.50134
2011-02-24,-0.1746,0.661786,1.21604,1.70094,2.16878,2.55669,2.84319,3.07203,3.27255,3.45357
2011-02-25,-0.211959,0.656465,1.20968,1.69962,2.16383,2.53686,2.82538,3.0549,3.25639,3.44096
2011-02-28,-0.1754,0.624371,1.17021,1.66021,2.12867,2.51378,2.8097,3.04135,3.24775,3.43109
2011-03-01,-0.187748,0.60659,1.14623,1.64451,2.11247,2.49956,2.79871,3.03791,3.2428,3.42851
2011-03-02,-0.113409,0.641771,1.17564,1.68659,2.16018,2.54903,2.85555,3.0899,3.29391,3.47877
2011-03-03,-0.008862,0.740403,1.30221,1.82579,2.29635,2.68077,2.97266,3.1984,3.39827,3.57997
2011-03-04,-0.100502,0.64504,1.19216,1.70742,2.17561,2.57082,2.87511,3.11283,3.32358,3.50888
2011-03-07,-0.112832,0.66118,1.2118,1.7152,2.18145,2.57207,2.87842,3.12016,3.3302,3.51455
2011-03-08,-0.051619,0.69673,1.23773,1.74641,2.21474,2.60647,2.91815,3.16912,3.3758,3.5597
2011-03-09,-0.131781,0.648603,1.19227,1.68534,2.15106,2.54013,2.85002,3.0958,3.30547,3.49078
2011-03-10,-0.024001,0.626325,1.12487,1.60138,2.06546,2.45831,2.76283,3.01432,3.22994,3.41684
2011-03-11,-0.112644,0.609057,1.11105,1.59507,2.05686,2.45047,2.75822,3.01355,3.2371,3.42681
2011-03-14,-0.127546,0.560664,1.05814,1.52545,1.98553,2.38474,2.6971,2.95651,3.18334,3.37832
